date,ts,total_positives,student_positives,staff_positives,faculty_positives,tests_administered,cumulative_total_positives,total_positives_rolling_avg,cumulative_student_positives,student_positives_rolling_avg,cumulative_staff_positives,staff_positives_rolling_avg,cumulative_faculty_positives,faculty_positives_rolling_avg,cumulative_tests_administered,tests_administered_rolling_avg
1/4/2021,1609736400000,2,2,0,0,2977,366,3.142857142857143,206,1.8571428571428572,159,1.1428571428571428,1,0.14285714285714285,471524,1130.5714285714287
1/5/2021,1609822800000,9,2,7,0,1935,375,3.5714285714285716,208,1.7142857142857142,166,1.8571428571428572,1,0,473459,1189
1/6/2021,1609909200000,4,4,0,0,2563,379,3.7142857142857144,212,2,166,1.7142857142857142,1,0,476022,1360.5714285714287
1/7/2021,1609995600000,11,0,9,2,2202,390,4.571428571428571,212,1.5714285714285714,175,2.7142857142857144,3,0.2857142857142857,478224,1665.142857142857
1/8/2021,1610082000000,1,0,1,0,1961,391,4.571428571428571,212,1.4285714285714286,176,2.857142857142857,3,0.2857142857142857,480185,1942.7142857142858
1/9/2021,1610168400000,1,1,6,0,638,392,4.142857142857143,213,1.4285714285714286,182,3.2857142857142856,3,0.2857142857142857,480823,1761.4285714285713
1/10/2021,1610254800000,2,0,2,0,586,394,4.285714285714286,213,1.2857142857142858,184,3.5714285714285716,3,0.2857142857142857,481409,1837.4285714285713
1/11/2021,1610341200000,2,1,1,0,2166,396,4.285714285714286,214,1.1428571428571428,185,3.7142857142857144,3,0.2857142857142857,483575,1721.5714285714287
1/12/2021,1610427600000,5,2,3,0,2197,401,3.7142857142857144,216,1.1428571428571428,188,3.142857142857143,3,0.2857142857142857,485772,1759
1/13/2021,1610514000000,1,0,1,0,2695,402,3.2857142857142856,216,0.5714285714285714,189,3.2857142857142856,3,0.2857142857142857,488467,1777.857142857143
1/14/2021,1610600400000,3,2,0,1,2384,405,2.142857142857143,218,0.8571428571428571,189,2,4,0.14285714285714285,490851,1803.857142857143
1/15/2021,1610686800000,4,1,3,0,2286,409,2.5714285714285716,219,1,192,2.2857142857142856,4,0.14285714285714285,493137,1850.2857142857142
1/16/2021,1610773200000,3,2,1,0,808,412,2.857142857142857,221,1.1428571428571428,193,1.5714285714285714,4,0.14285714285714285,493945,1874.5714285714287
1/17/2021,1610859600000,1,1,0,0,643,413,2.7142857142857144,222,1.2857142857142858,193,1.2857142857142858,4,0.14285714285714285,494588,1882.7142857142858
1/18/2021,1610946000000,12,1,10,1,1972,425,4.142857142857143,223,1.2857142857142858,203,2.5714285714285716,5,0.2857142857142857,496560,1855
1/19/2021,1611032400000,0,0,0,0,2920,425,3.4285714285714284,223,1,203,2.142857142857143,5,0.2857142857142857,499480,1958.2857142857142
1/20/2021,1611118800000,7,3,3,1,2952,432,4.285714285714286,226,1.4285714285714286,206,2.4285714285714284,6,0.42857142857142855,502432,1995
1/21/2021,1611205200000,10,5,5,0,2956,442,5.285714285714286,231,1.8571428571428572,211,3.142857142857143,6,0.2857142857142857,505388,2076.714285714286
1/22/2021,1611291600000,8,5,3,0,2542,450,5.857142857142857,236,2.4285714285714284,214,3.142857142857143,6,0.2857142857142857,507930,2113.285714285714
1/23/2021,1611378000000,7,5,2,0,1627,457,6.428571428571429,241,2.857142857142857,216,3.2857142857142856,6,0.2857142857142857,509557,2230.285714285714
1/24/2021,1611464400000,7,6,1,0,1599,464,7.285714285714286,247,3.5714285714285716,217,3.4285714285714284,6,0.2857142857142857,511156,2366.8571428571427
1/25/2021,1611550800000,8,7,1,0,3766,472,6.714285714285714,254,4.428571428571429,218,2.142857142857143,6,0.14285714285714285,514922,2623.1428571428573
1/26/2021,1611637200000,8,5,3,0,3383,480,7.857142857142857,259,5.142857142857143,221,2.5714285714285716,6,0.14285714285714285,518305,2689.285714285714
1/27/2021,1611723600000,5,4,1,0,3816,485,7.571428571428571,263,5.285714285714286,222,2.2857142857142856,6,0,522121,2812.714285714286
1/28/2021,1611810000000,15,12,3,0,3719,500,8.285714285714286,275,6.285714285714286,225,2,6,0,525840,2921.714285714286
1/29/2021,1611896400000,8,6,2,0,4216,508,8.285714285714286,281,6.428571428571429,227,1.8571428571428572,6,0,530056,3160.8571428571427
1/30/2021,1611982800000,6,5,0,1,2250,514,8.142857142857142,286,6.428571428571429,227,1.5714285714285714,7,0.14285714285714285,532306,3249.8571428571427
1/31/2021,1612069200000,7,5,1,1,3237,521,8.142857142857142,291,6.285714285714286,228,1.5714285714285714,8,0.2857142857142857,535543,3483.8571428571427
2/1/2021,1612155600000,12,12,0,0,4620,533,8.714285714285714,303,7,228,1.4285714285714286,8,0.2857142857142857,540163,3605.8571428571427
2/2/2021,1612242000000,6,5,1,0,3811,539,8.428571428571429,308,7,229,1.1428571428571428,8,0.2857142857142857,543974,3667
2/3/2021,1612328400000,16,15,1,0,4970,555,10,323,8.571428571428571,230,1.1428571428571428,8,0.2857142857142857,548944,3831.8571428571427
2/4/2021,1612414800000,16,16,0,0,6969,571,10.142857142857142,339,9.142857142857142,230,0.7142857142857143,8,0.2857142857142857,555913,4296.142857142857
2/5/2021,1612501200000,17,17,0,0,5728,588,11.428571428571429,356,10.714285714285714,230,0.42857142857142855,8,0.2857142857142857,561641,4512.142857142857
2/6/2021,1612587600000,16,16,0,0,3604,604,12.857142857142858,372,12.285714285714286,230,0.42857142857142855,8,0.14285714285714285,565245,4705.571428571428
2/7/2021,1612674000000,17,13,4,0,3760,621,14.285714285714286,385,13.428571428571429,234,0.8571428571428571,8,0,569005,4780.285714285715
2/8/2021,1612760400000,3,3,0,0,6362,624,13,388,12.142857142857142,234,0.8571428571428571,8,0,575367,5029.142857142857
2/9/2021,1612846800000,10,10,0,0,6162,634,13.571428571428571,398,12.857142857142858,234,0.7142857142857143,8,0,581529,5365
2/10/2021,1612933200000,4,3,0,1,5534,638,11.857142857142858,401,11.142857142857142,234,0.5714285714285714,9,0.14285714285714285,587063,5445.571428571428
2/11/2021,1613019600000,14,13,1,0,5473,652,11.571428571428571,414,10.714285714285714,235,0.7142857142857143,9,0.14285714285714285,592536,5231.857142857143
2/12/2021,1613106000000,3,3,0,0,5907,655,9.571428571428571,417,8.714285714285714,235,0.7142857142857143,9,0.14285714285714285,598443,5257.428571428572
2/13/2021,1613192400000,2,0,2,0,4293,657,7.571428571428571,417,6.428571428571429,237,1,9,0.14285714285714285,602736,5355.857142857143
2/14/2021,1613278800000,3,2,1,0,3405,660,5.571428571428571,419,4.857142857142857,238,0.5714285714285714,9,0.14285714285714285,606141,5305.142857142857
2/15/2021,1613365200000,2,1,1,0,6866,662,5.428571428571429,420,4.571428571428571,239,0.7142857142857143,9,0.14285714285714285,613007,5377.142857142857
2/16/2021,1613451600000,1,1,0,0,5847,663,4.142857142857143,421,3.2857142857142856,239,0.7142857142857143,9,0.14285714285714285,618854,5332.142857142857
2/17/2021,1613538000000,1,0,1,0,5923,664,3.7142857142857144,421,2.857142857142857,240,0.8571428571428571,9,0,624777,5387.714285714285
2/18/2021,1613624400000,2,0,2,0,6345,666,2,421,1,242,1,9,0,631122,5512.285714285715
2/19/2021,1613710800000,5,4,0,1,6108,671,2.2857142857142856,425,1.1428571428571428,242,1,10,0.14285714285714285,637230,5541
2/20/2021,1613797200000,1,1,0,0,4160,672,2.142857142857143,426,1.2857142857142858,242,0.7142857142857143,10,0.14285714285714285,641390,5522
2/21/2021,1613883600000,5,4,1,0,3398,677,2.4285714285714284,430,1.5714285714285714,243,0.7142857142857143,10,0.14285714285714285,644788,5521
2/22/2021,1613970000000,2,1,1,0,6788,679,2.4285714285714284,431,1.5714285714285714,244,0.7142857142857143,10,0.14285714285714285,651576,5509.857142857143
2/23/2021,1614056400000,4,4,0,0,6302,683,2.857142857142857,435,2,244,0.7142857142857143,10,0.14285714285714285,657878,5574.857142857143
2/24/2021,1614142800000,2,2,0,0,5808,685,3,437,2.2857142857142856,244,0.5714285714285714,10,0.14285714285714285,663686,5558.428571428572
2/25/2021,1614229200000,3,1,2,0,6256,688,3.142857142857143,438,2.4285714285714284,246,0.5714285714285714,10,0.14285714285714285,669942,5545.714285714285
2/26/2021,1614315600000,4,2,2,0,6338,692,3,440,2.142857142857143,248,0.8571428571428571,10,0,676280,5578.571428571428
2/27/2021,1614402000000,2,0,2,0,4228,694,3.142857142857143,440,2,250,1.1428571428571428,10,0,680508,5588.285714285715
2/28/2021,1614488400000,1,1,0,0,3387,695,2.5714285714285716,441,1.5714285714285714,250,1,10,0,683895,5586.714285714285
3/1/2021,1614574800000,4,2,2,0,6936,699,2.857142857142857,443,1.7142857142857142,252,1.1428571428571428,10,0,690831,5607.857142857143
3/2/2021,1614661200000,5,5,0,0,6193,704,3,448,1.8571428571428572,252,1.1428571428571428,10,0,697024,5592.285714285715
3/3/2021,1614747600000,7,7,0,0,5931,711,3.7142857142857144,455,2.5714285714285716,252,1.1428571428571428,10,0,702955,5609.857142857143
3/4/2021,1614834000000,1,9,2,0,6703,712,3.4285714285714284,464,3.7142857142857144,254,1.1428571428571428,10,0,709658,5673.714285714285
3/5/2021,1614920400000,4,2,2,0,6296,716,3.4285714285714284,466,3.7142857142857144,256,1.1428571428571428,10,0,715954,5667.714285714285
3/6/2021,1615006800000,7,7,0,0,4189,723,4.142857142857143,473,4.714285714285714,256,0.8571428571428571,10,0,720143,5662.142857142857
3/7/2021,1615093200000,3,3,0,0,3371,726,4.428571428571429,476,5,256,0.8571428571428571,10,0,723514,5659.857142857143
3/8/2021,1615179600000,6,6,0,0,6976,732,4.714285714285714,482,5.571428571428571,256,0.5714285714285714,10,0,730490,5665.571428571428
3/9/2021,1615266000000,9,8,1,0,6132,741,5.285714285714286,490,6,257,0.7142857142857143,10,0,736622,5656.857142857143
3/10/2021,1615352400000,8,6,1,1,5698,749,5.428571428571429,496,5.857142857142857,258,0.8571428571428571,11,0.14285714285714285,742320,5623.571428571428
3/11/2021,1615438800000,11,11,0,0,6913,760,6.857142857142857,507,6.142857142857143,258,0.5714285714285714,11,0.14285714285714285,749233,5653.571428571428
3/12/2021,1615525200000,9,6,3,0,6440,769,7.571428571428571,513,6.714285714285714,261,0.7142857142857143,11,0.14285714285714285,755673,5674.142857142857
3/13/2021,1615611600000,3,3,0,0,4214,772,7,516,6.142857142857143,261,0.7142857142857143,11,0.14285714285714285,759887,5677.714285714285
3/14/2021,1615698000000,6,6,0,0,3262,778,7.428571428571429,522,6.571428571428571,261,0.7142857142857143,11,0.14285714285714285,763149,5662.142857142857
